# satellite: 43932 RAPIS-1 / JPN
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 30.4
# npoints: 6143
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2019-05-23 18:13:43.891000 8.273 6.68051 Clear 0 594.365 57.672 7 15868858
2019-05-23 18:13:43.991000 8.314 6.72077 Clear 0 594.022 57.724 7 15868858
2019-05-23 18:13:44.091000 8.213 6.61922 Clear 0 593.679 57.775 7 15868858
2019-05-23 18:13:44.191000 8.201 6.60662 Clear 0 593.337 57.827 7 15868858
2019-05-23 18:13:44.197000 8.082 6.48747 Clear 0 593.317 57.83 2 15868858
2019-05-23 18:13:44.291000 8.284 6.68849 Clear 0 592.996 57.878 7 15868858
2019-05-23 18:13:44.297000 7.972 6.377 Clear 0 592.976 57.881 2 15868858
2019-05-23 18:13:44.391000 8.147 6.55068 Clear 0 592.656 57.93 7 15868858
2019-05-23 18:13:44.397000 8.022 6.42569 Clear 0 592.635 57.933 2 15868858
2019-05-23 18:13:44.491000 8.348 6.75117 Clear 0 592.316 57.981 7 15868858
2019-05-23 18:13:44.497000 8.111 6.51367 Clear 0 592.296 57.985 2 15868858
2019-05-23 18:13:44.591000 8.255 6.65829 Clear 0 591.977 58.033 7 15868858
2019-05-23 18:13:44.597000 8.076 6.47909 Clear 0 591.957 58.036 2 15868858
2019-05-23 18:13:44.691000 8.301 6.70268 Clear 0 591.639 58.085 7 15868858
2019-05-23 18:13:44.697000 8.142 6.5435 Clear 0 591.619 58.088 2 15868858
2019-05-23 18:13:44.791000 8.099 6.49966 Clear 0 591.301 58.137 7 15868858
2019-05-23 18:13:44.797000 7.915 6.31557 Clear 0 591.281 58.14 2 15868858
2019-05-23 18:13:44.891000 8.21 6.61075 Clear 0 590.964 58.189 7 15868858
2019-05-23 18:13:44.991000 8.229 6.62904 Clear 0 590.628 58.241 7 15868858
2019-05-23 18:13:45.091000 8.199 6.59839 Clear 0 590.293 58.293 7 15868858
2019-05-23 18:13:45.191000 8.257 6.65579 Clear 0 589.958 58.346 7 15868858
2019-05-23 18:13:45.291000 8.241 6.63868 Clear 0 589.625 58.398 7 15868858
2019-05-23 18:13:45.391000 8.263 6.65956 Clear 0 589.291 58.45 7 15868858
2019-05-23 18:13:45.491000 8.148 6.54489 Clear 0 588.959 58.503 7 15868858
2019-05-23 18:13:45.591000 8.285 6.68047 Clear 0 588.627 58.555 7 15868858
2019-05-23 18:13:45.691000 8.342 6.73733 Clear 0 588.296 58.608 7 15868858
2019-05-23 18:13:45.791000 8.202 6.59674 Clear 0 587.966 58.661 7 15868858
2019-05-23 18:13:45.891000 8.358 6.75145 Clear 0 587.637 58.714 7 15868858
2019-05-23 18:13:45.991000 8.236 6.62869 Clear 0 587.308 58.766 7 15868858
2019-05-23 18:13:46.091000 8.218 6.61112 Clear 0 586.98 58.819 7 15868858
