# satellite: 9415 OPS 5721 / US
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 36.77707734
# npoints: 55383
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-20 20:38:46.414000 6.898 6.69279 Clear 0 878.584 93.769 3 518346
2014-06-20 20:38:46.514000 6.926 6.71987 Clear 0 878.299 93.728 3 518346
2014-06-20 20:38:46.614000 6.819 6.61136 Clear 0 878.015 93.687 3 518346
2014-06-20 20:38:46.714000 6.774 6.5652 Clear 0 877.732 93.646 3 518346
2014-06-20 20:38:46.814000 6.515 6.30421 Clear 0 877.449 93.605 3 518346
2014-06-20 20:38:46.914000 6.701 6.48877 Clear 0 877.167 93.563 3 518346
2014-06-20 20:38:47.014000 6.503 6.28935 Clear 0 876.885 93.522 3 518346
2014-06-20 20:38:47.114000 6.594 6.37936 Clear 0 876.603 93.481 3 518346
2014-06-20 20:38:47.214000 6.376 6.15888 Clear 0 876.322 93.44 3 518346
2014-06-20 20:38:47.314000 6.301 6.08327 Clear 0 876.042 93.398 3 518346
2014-06-20 20:38:47.414000 6.45 6.23033 Clear 0 875.762 93.357 3 518346
2014-06-20 20:38:47.514000 6.282 6.05959 Clear 0 875.482 93.316 3 518346
2014-06-20 20:38:47.614000 6.451 6.22782 Clear 0 875.203 93.274 3 518346
2014-06-20 20:38:47.714000 6.215 5.99005 Clear 0 874.925 93.233 3 518346
2014-06-20 20:38:47.814000 6.33 6.10383 Clear 0 874.647 93.191 3 518346
2014-06-20 20:38:47.914000 6.426 6.19809 Clear 0 874.369 93.15 3 518346
2014-06-20 20:38:48.014000 6.318 6.08898 Clear 0 874.092 93.108 3 518346
2014-06-20 20:38:48.114000 6.253 6.02146 Clear 0 873.816 93.067 3 518346
2014-06-20 20:38:48.214000 6.124 5.89232 Clear 0 873.539 93.025 3 518346
2014-06-20 20:38:48.314000 5.878 5.64345 Clear 0 873.264 92.984 3 518346
2014-06-20 20:38:48.414000 5.59 5.35543 Clear 0 872.989 92.942 3 518346
2014-06-20 20:38:48.514000 5.558 5.32057 Clear 0 872.714 92.901 3 518346
2014-06-20 20:38:48.614000 5.113 4.87505 Clear 0 872.44 92.859 3 518346
2014-06-20 20:38:48.714000 4.896 4.65635 Clear 0 872.167 92.817 3 518346
2014-06-20 20:38:48.814000 4.614 4.37304 Clear 0 871.893 92.776 3 518346
2014-06-20 20:38:48.914000 4.649 4.40567 Clear 0 871.621 92.734 3 518346
2014-06-20 20:38:49.014000 5.061 4.81674 Clear 0 871.349 92.692 3 518346
2014-06-20 20:38:49.114000 5.448 5.20231 Clear 0 871.077 92.651 3 518346
2014-06-20 20:38:49.214000 5.855 5.60768 Clear 0 870.806 92.609 3 518346
2014-06-20 20:38:49.314000 6.027 5.7783 Clear 0 870.535 92.567 3 518346
2014-06-20 20:38:49.414000 6.203 5.95342 Clear 0 870.265 92.525 3 518346
2014-06-20 20:38:49.514000 6.059 5.80653 Clear 0 869.996 92.483 3 518346
2014-06-20 20:38:49.614000 5.969 5.7157 Clear 0 869.727 92.441 3 518346
2014-06-20 20:38:49.714000 5.852 5.59701 Clear 0 869.458 92.4 3 518346
2014-06-20 20:38:49.814000 5.96 5.70418 Clear 0 869.19 92.358 3 518346
2014-06-20 20:38:49.914000 5.516 5.25764 Clear 0 868.922 92.316 3 518346
2014-06-20 20:38:50.014000 5.284 5.02489 Clear 0 868.655 92.274 3 518346
2014-06-20 20:38:50.114000 5.298 5.03676 Clear 0 868.389 92.232 3 518346
2014-06-20 20:38:50.214000 5.938 5.67574 Clear 0 868.122 92.19 3 518346
2014-06-20 20:38:50.314000 6.232 5.9682 Clear 0 867.857 92.148 3 518346
2014-06-20 20:38:50.414000 6.26 5.99487 Clear 0 867.592 92.106 3 518346
2014-06-20 20:38:50.514000 6.406 6.13881 Clear 0 867.327 92.064 3 518346
2014-06-20 20:38:50.614000 6.288 6.02042 Clear 0 867.063 92.021 3 518346
2014-06-20 20:38:50.714000 6.361 6.09068 Clear 0 866.8 91.979 3 518346
2014-06-20 20:38:50.814000 6.356 6.0846 Clear 0 866.536 91.937 3 518346
2014-06-20 20:38:50.914000 6.479 6.20602 Clear 0 866.274 91.895 3 518346
