# satellite: 46469 HAIYANG 2C / PRC
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 3.7813781
# npoints: 42152
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2020-09-23 00:38:25.497000 5.016 4.66206 Clear 0 974.399 71.41 3 18316044
2020-09-23 00:38:25.597000 5.045 4.69241 Clear 0 974.524 71.448 3 18316044
2020-09-23 00:38:25.697000 5.009 4.65555 Clear 0 974.651 71.486 3 18316044
2020-09-23 00:38:25.797000 4.898 4.54575 Clear 0 974.777 71.523 3 18316044
2020-09-23 00:38:25.897000 4.946 4.59534 Clear 0 974.904 71.561 3 18316044
2020-09-23 00:38:25.997000 4.961 4.61067 Clear 0 975.032 71.599 3 18316044
2020-09-23 00:38:26.097000 4.966 4.61702 Clear 0 975.159 71.637 3 18316044
2020-09-23 00:38:26.197000 4.918 4.56942 Clear 0 975.288 71.675 3 18316044
2020-09-23 00:38:26.297000 4.947 4.59932 Clear 0 975.416 71.712 3 18316044
2020-09-23 00:38:26.397000 4.939 4.5918 Clear 0 975.546 71.75 3 18316044
2020-09-23 00:38:26.497000 4.931 4.58468 Clear 0 975.675 71.788 3 18316044
2020-09-23 00:38:26.597000 4.918 4.57314 Clear 0 975.805 71.826 3 18316044
2020-09-23 00:38:26.697000 4.915 4.56955 Clear 0 975.936 71.863 3 18316044
2020-09-23 00:38:26.797000 4.899 4.55479 Clear 0 976.067 71.901 3 18316044
2020-09-23 00:38:26.897000 4.909 4.56583 Clear 0 976.198 71.939 3 18316044
2020-09-23 00:38:26.997000 4.898 4.55644 Clear 0 976.33 71.977 3 18316044
2020-09-23 00:38:27.097000 4.95 4.60845 Clear 0 976.462 72.014 3 18316044
2020-09-23 00:38:27.197000 4.938 4.59671 Clear 0 976.595 72.052 3 18316044
2020-09-23 00:38:27.297000 4.964 4.62394 Clear 0 976.728 72.09 3 18316044
2020-09-23 00:38:27.397000 4.917 4.57755 Clear 0 976.862 72.127 3 18316044
2020-09-23 00:38:27.497000 4.918 4.57992 Clear 0 976.996 72.165 3 18316044
2020-09-23 00:38:27.597000 4.923 4.58559 Clear 0 977.13 72.203 3 18316044
2020-09-23 00:38:27.697000 4.934 4.59815 Clear 0 977.265 72.24 3 18316044
2020-09-23 00:38:27.797000 4.869 4.53332 Clear 0 977.4 72.278 3 18316044
2020-09-23 00:38:27.897000 4.917 4.58233 Clear 0 977.536 72.316 3 18316044
2020-09-23 00:38:27.997000 4.918 4.58352 Clear 0 977.672 72.353 3 18316044
2020-09-23 00:38:28.097000 4.876 4.54275 Clear 0 977.809 72.391 3 18316044
2020-09-23 00:38:28.197000 4.934 4.60231 Clear 0 977.946 72.428 3 18316044
2020-09-23 00:38:28.297000 4.923 4.59156 Clear 0 978.084 72.466 3 18316044
2020-09-23 00:38:28.397000 4.881 4.5495 Clear 0 978.221 72.504 3 18316044
2020-09-23 00:38:28.497000 4.904 4.57444 Clear 0 978.36 72.541 3 18316044
2020-09-23 00:38:28.597000 4.941 4.61244 Clear 0 978.499 72.579 3 18316044
2020-09-23 00:38:28.697000 4.874 4.54571 Clear 0 978.638 72.616 3 18316044
2020-09-23 00:38:28.797000 4.915 4.588 Clear 0 978.778 72.654 3 18316044
2020-09-23 00:38:28.897000 4.87 4.54432 Clear 0 978.918 72.691 3 18316044
2020-09-23 00:38:28.997000 4.913 4.58707 Clear 0 979.058 72.729 3 18316044
2020-09-23 00:38:29.097000 4.92 4.59522 Clear 0 979.199 72.767 3 18316044
2020-09-23 00:38:29.197000 4.883 4.55941 Clear 0 979.341 72.804 3 18316044
2020-09-23 00:38:29.297000 4.885 4.56165 Clear 0 979.483 72.842 3 18316044
2020-09-23 00:38:29.397000 4.934 4.61223 Clear 0 979.625 72.879 3 18316044
2020-09-23 00:38:29.497000 4.921 4.59959 Clear 0 979.768 72.917 3 18316044
2020-09-23 00:38:29.597000 4.925 4.60417 Clear 0 979.911 72.954 3 18316044
2020-09-23 00:38:29.697000 4.88 4.56039 Clear 0 980.054 72.992 3 18316044
2020-09-23 00:38:29.797000 4.88 4.56117 Clear 0 980.198 73.029 3 18316044
2020-09-23 00:38:29.897000 4.938 4.61992 Clear 0 980.343 73.067 3 18316044
2020-09-23 00:38:29.997000 4.918 4.60068 Clear 0 980.488 73.104 3 18316044
2020-09-23 00:38:30.097000 4.843 4.52682 Clear 0 980.633 73.141 3 18316044
2020-09-23 00:38:30.197000 4.885 4.56846 Clear 0 980.779 73.179 3 18316044
2020-09-23 00:38:30.297000 4.905 4.59034 Clear 0 980.925 73.216 3 18316044
2020-09-23 00:38:30.397000 4.894 4.5801 Clear 0 981.072 73.254 3 18316044
2020-09-23 00:38:30.497000 4.899 4.5858 Clear 0 981.219 73.291 3 18316044
2020-09-23 00:38:30.597000 4.922 4.60997 Clear 0 981.366 73.329 3 18316044
